"100016","104","TOPICAL (HOUSEHOLD)","Topique (Maison)"
"62523","70","TOPICAL","Topique"
"62576","56","ORAL","Orale"
"6260","49","INTRAVENOUS","Intraveineuse"
"6261","49","INTRAVENOUS","Intraveineuse"
"62613","55","OPHTHALMIC","Ophtalmique"
"6262","22","INTRAMUSCULAR","Intramusculaire"
"6262","65","SUBCUTANEOUS","Sous-cutanée"
"62674","56","ORAL","Orale"
"62729","56","ORAL","Orale"
"62738","22","INTRAMUSCULAR","Intramusculaire"
"62738","65","SUBCUTANEOUS","Sous-cutanée"
"6277","22","INTRAMUSCULAR","Intramusculaire"
"6277","49","INTRAVENOUS","Intraveineuse"
"6283","56","ORAL","Orale"
"62971","70","TOPICAL","Topique"
"63010","56","ORAL","Orale"
"6306","22","INTRAMUSCULAR","Intramusculaire"
"6306","49","INTRAVENOUS","Intraveineuse"
"6306","65","SUBCUTANEOUS","Sous-cutanée"
"63107","22","INTRAMUSCULAR","Intramusculaire"
"63107","65","SUBCUTANEOUS","Sous-cutanée"
"63111","22","INTRAMUSCULAR","Intramusculaire"
"63112","22","INTRAMUSCULAR","Intramusculaire"
"63130","56","ORAL","Orale"
"63187","70","TOPICAL","Topique"
"6321","56","ORAL","Orale"
"63299","56","ORAL","Orale"
"63304","56","ORAL","Orale"
"63305","56","ORAL","Orale"
"63316","56","ORAL","Orale"
"63317","56","ORAL","Orale"
"6339","22","INTRAMUSCULAR","Intramusculaire"
"6340","22","INTRAMUSCULAR","Intramusculaire"
"6340","49","INTRAVENOUS","Intraveineuse"
"6340","65","SUBCUTANEOUS","Sous-cutanée"
"6341","22","INTRAMUSCULAR","Intramusculaire"
"6341","49","INTRAVENOUS","Intraveineuse"
"63418","56","ORAL","Orale"
"63419","56","ORAL","Orale"
"63420","56","ORAL","Orale"
"63421","56","ORAL","Orale"
"63454","56","ORAL","Orale"
"63465","49","INTRAVENOUS","Intraveineuse"
"63527","70","TOPICAL","Topique"
"6359","49","INTRAVENOUS","Intraveineuse"
"6360","36","IRRIGATION","Irrigation"
"6361","55","OPHTHALMIC","Ophtalmique"
"63617","62","RECTAL","Rectale"
"63628","49","INTRAVENOUS","Intraveineuse"
"63628","65","SUBCUTANEOUS","Sous-cutanée"
"6363","55","OPHTHALMIC","Ophtalmique"
"63636","22","INTRAMUSCULAR","Intramusculaire"
"63636","49","INTRAVENOUS","Intraveineuse"
"6364","55","OPHTHALMIC","Ophtalmique"
"6364","57","OTIC","Otique"
"6365","55","OPHTHALMIC","Ophtalmique"
"63709","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"63765","56","ORAL","Orale"
"63802","56","ORAL","Orale"
"63847","56","ORAL","Orale"
"63854","70","TOPICAL","Topique"
"63861","56","ORAL","Orale"
"63870","56","ORAL","Orale"
"63906","55","OPHTHALMIC","Ophtalmique"
"6392","56","ORAL","Orale"
"6393","56","ORAL","Orale"
"6394","56","ORAL","Orale"
"6395","22","INTRAMUSCULAR","Intramusculaire"
"6395","49","INTRAVENOUS","Intraveineuse"
"63963","56","ORAL","Orale"
"63994","56","ORAL","Orale"
"6403","56","ORAL","Orale"
"6404","56","ORAL","Orale"
"64077","53","NASAL","Nasale"
"64083","56","ORAL","Orale"
"64134","56","ORAL","Orale"
"64135","56","ORAL","Orale"
"64191","49","INTRAVENOUS","Intraveineuse"
"6422","56","ORAL","Orale"
"6423","56","ORAL","Orale"
"64414","56","ORAL","Orale"
"64501","56","ORAL","Orale"
"64576","70","TOPICAL","Topique"
"64617","56","ORAL","Orale"
"64837","22","INTRAMUSCULAR","Intramusculaire"
"64837","49","INTRAVENOUS","Intraveineuse"
"64895","56","ORAL","Orale"
"6498","56","ORAL","Orale"
"64982","70","TOPICAL","Topique"
"64983","70","TOPICAL","Topique"
"64984","70","TOPICAL","Topique"
"65060","56","ORAL","Orale"
"65136","70","TOPICAL","Topique"
"6514","22","INTRAMUSCULAR","Intramusculaire"
"65180","70","TOPICAL","Topique"
"65228","55","OPHTHALMIC","Ophtalmique"
"65229","55","OPHTHALMIC","Ophtalmique"
"6523","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"6523","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"6526","49","INTRAVENOUS","Intraveineuse"
"65265","56","ORAL","Orale"
"65268","5","DENTAL","Dentaire"
"65300","49","INTRAVENOUS","Intraveineuse"
"65485","49","INTRAVENOUS","Intraveineuse"
"65486","49","INTRAVENOUS","Intraveineuse"
"6550","66","SUBLINGUAL","Sublinguale"
"65557","70","TOPICAL","Topique"
"65584","40","INTRASPINAL","Intrarachidienne"
"65588","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"65588","7","EPIDURAL","Épidurale"
"65589","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"65589","7","EPIDURAL","Épidurale"
"65598","22","INTRAMUSCULAR","Intramusculaire"
"65598","65","SUBCUTANEOUS","Sous-cutanée"
"6563","22","INTRAMUSCULAR","Intramusculaire"
"6563","49","INTRAVENOUS","Intraveineuse"
"65636","70","TOPICAL","Topique"
"65637","70","TOPICAL","Topique"
"6564","70","TOPICAL","Topique"
"6565","49","INTRAVENOUS","Intraveineuse"
"6566","56","ORAL","Orale"
"65665","56","ORAL","Orale"
"65856","56","ORAL","Orale"
"65857","56","ORAL","Orale"
"66040","3","BUCCAL","Buccale"
"66118","56","ORAL","Orale"
"66126","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"66126","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"66168","70","TOPICAL","Topique"
"66172","56","ORAL","Orale"
"66173","56","ORAL","Orale"
"66192","70","TOPICAL","Topique"
"66197","89","SUBGINGIVAL","Sous-gingivale"
"66207","56","ORAL","Orale"
"66341","22","INTRAMUSCULAR","Intramusculaire"
"66341","65","SUBCUTANEOUS","Sous-cutanée"
"6639","70","TOPICAL","Topique"
"66399","70","TOPICAL","Topique"
"66444","56","ORAL","Orale"
"66452","18","INTRACUTANEOUS","Intracutanée"
"66452","65","SUBCUTANEOUS","Sous-cutanée"
"66454","18","INTRACUTANEOUS","Intracutanée"
"66454","65","SUBCUTANEOUS","Sous-cutanée"
"66466","18","INTRACUTANEOUS","Intracutanée"
"66466","65","SUBCUTANEOUS","Sous-cutanée"
"66485","56","ORAL","Orale"
"66503","56","ORAL","Orale"
"66519","65","SUBCUTANEOUS","Sous-cutanée"
"66520","65","SUBCUTANEOUS","Sous-cutanée"
"66521","65","SUBCUTANEOUS","Sous-cutanée"
"66522","19","INTRADERMAL","Intradermique"
"66522","70","TOPICAL","Topique"
"66533","56","ORAL","Orale"
"66620","62","RECTAL","Rectale"
"66621","62","RECTAL","Rectale"
"66642","56","ORAL","Orale"
"6681","56","ORAL","Orale"
"66819","22","INTRAMUSCULAR","Intramusculaire"
"66819","49","INTRAVENOUS","Intraveineuse"
"66842","70","TOPICAL","Topique"
"66843","70","TOPICAL","Topique"
"6685","56","ORAL","Orale"
"6687","56","ORAL","Orale"
"6690","22","INTRAMUSCULAR","Intramusculaire"
"6690","49","INTRAVENOUS","Intraveineuse"
"6690","65","SUBCUTANEOUS","Sous-cutanée"
"66900","56","ORAL","Orale"
"66901","56","ORAL","Orale"
"66929","56","ORAL","Orale"
"6693","22","INTRAMUSCULAR","Intramusculaire"
"6693","49","INTRAVENOUS","Intraveineuse"
"66939","29","INHALATION","Inhalation"
"6694","70","TOPICAL","Topique"
"66940","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"66940","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"66952","56","ORAL","Orale"
"67101","56","ORAL","Orale"
"67102","56","ORAL","Orale"
"67128","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"67128","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"6721","55","OPHTHALMIC","Ophtalmique"
"6722","55","OPHTHALMIC","Ophtalmique"
"67343","56","ORAL","Orale"
"67346","49","INTRAVENOUS","Intraveineuse"
"67512","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"67512","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"6752","56","ORAL","Orale"
"6756","56","ORAL","Orale"
"67573","56","ORAL","Orale"
"67589","70","TOPICAL","Topique"
"67655","71","TRANSDERMAL","Transdermique"
"67657","71","TRANSDERMAL","Transdermique"
"67658","71","TRANSDERMAL","Transdermique"
"67676","56","ORAL","Orale"
"67677","56","ORAL","Orale"
"67678","56","ORAL","Orale"
"67679","56","ORAL","Orale"
"67680","56","ORAL","Orale"
"67681","56","ORAL","Orale"
"67682","56","ORAL","Orale"
"6772","55","OPHTHALMIC","Ophtalmique"
"6773","55","OPHTHALMIC","Ophtalmique"
"67739","56","ORAL","Orale"
"67766","29","INHALATION","Inhalation"
"67769","29","INHALATION","Inhalation"
"678","56","ORAL","Orale"
"67816","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"67816","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"67838","56","ORAL","Orale"
"67886","56","ORAL","Orale"
"67931","56","ORAL","Orale"
"67933","22","INTRAMUSCULAR","Intramusculaire"
"67988","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"68099","56","ORAL","Orale"
"68100","56","ORAL","Orale"
"68101","56","ORAL","Orale"
"68231","56","ORAL","Orale"
"68291","56","ORAL","Orale"
"68447","56","ORAL","Orale"
"68508","56","ORAL","Orale"
"68509","56","ORAL","Orale"
"68510","56","ORAL","Orale"
"68664","56","ORAL","Orale"
"68668","56","ORAL","Orale"
"68669","56","ORAL","Orale"
"68718","65","SUBCUTANEOUS","Sous-cutanée"
"68758","70","TOPICAL","Topique"
"68893","49","INTRAVENOUS","Intraveineuse"
"690","56","ORAL","Orale"
"69009","56","ORAL","Orale"
"69014","49","INTRAVENOUS","Intraveineuse"
"69060","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"69060","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"69065","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"69065","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"69083","56","ORAL","Orale"
"69084","56","ORAL","Orale"
"69105","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"69105","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"69245","56","ORAL","Orale"
"69246","56","ORAL","Orale"
"69247","56","ORAL","Orale"
"69248","56","ORAL","Orale"
"69289","56","ORAL","Orale"
"69500","56","ORAL","Orale"
"69698","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"69698","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"69698","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"697","56","ORAL","Orale"
"69735","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"69784","56","ORAL","Orale"
"69787","49","INTRAVENOUS","Intraveineuse"
"69798","56","ORAL","Orale"
"69799","55","OPHTHALMIC","Ophtalmique"
"69836","56","ORAL","Orale"
"69837","56","ORAL","Orale"
"69838","56","ORAL","Orale"
"69840","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"69856","56","ORAL","Orale"
"69857","56","ORAL","Orale"
"69858","56","ORAL","Orale"
"69859","56","ORAL","Orale"
"69860","56","ORAL","Orale"
"69861","56","ORAL","Orale"
"69946","56","ORAL","Orale"
"69947","56","ORAL","Orale"
"69977","55","OPHTHALMIC","Ophtalmique"
"69987","56","ORAL","Orale"
"70023","70","TOPICAL","Topique"
"70041","56","ORAL","Orale"
"70105","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"70105","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"70105","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"70105","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"70124","49","INTRAVENOUS","Intraveineuse"
"70125","49","INTRAVENOUS","Intraveineuse"
"70139","56","ORAL","Orale"
"70140","56","ORAL","Orale"
"70218","53","NASAL","Nasale"
"70220","56","ORAL","Orale"
"70222","56","ORAL","Orale"
"70245","56","ORAL","Orale"
"70246","56","ORAL","Orale"
"70284","56","ORAL","Orale"
"70285","56","ORAL","Orale"
"70286","56","ORAL","Orale"
"70367","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"70367","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"70367","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"70399","56","ORAL","Orale"
"70433","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"70442","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"70442","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"70445","55","OPHTHALMIC","Ophtalmique"
"70471","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"70471","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"70480","56","ORAL","Orale"
"7049","70","TOPICAL","Topique"
"70495","56","ORAL","Orale"
"70496","56","ORAL","Orale"
"70497","56","ORAL","Orale"
"70498","56","ORAL","Orale"
"70546","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"70667","29","INHALATION","Inhalation"
"70748","49","INTRAVENOUS","Intraveineuse"
"70767","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"70808","56","ORAL","Orale"
"7083","70","TOPICAL","Topique"
"70951","70","TOPICAL","Topique"
"71031","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"71120","56","ORAL","Orale"
"71121","56","ORAL","Orale"
"71122","56","ORAL","Orale"
"71130","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"71130","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"71195","22","INTRAMUSCULAR","Intramusculaire"
"71195","49","INTRAVENOUS","Intraveineuse"
"71270","70","TOPICAL","Topique"
"71272","56","ORAL","Orale"
"71318","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"71318","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"71331","56","ORAL","Orale"
"7144","56","ORAL","Orale"
"71473","56","ORAL","Orale"
"71474","56","ORAL","Orale"
"7151","56","ORAL","Orale"
"71586","56","ORAL","Orale"
"71587","56","ORAL","Orale"
"71594","65","SUBCUTANEOUS","Sous-cutanée"
"71649","70","TOPICAL","Topique"
"71669","56","ORAL","Orale"
"71743","56","ORAL","Orale"
"71744","56","ORAL","Orale"
"7179","22","INTRAMUSCULAR","Intramusculaire"
"71800","56","ORAL","Orale"
"71801","56","ORAL","Orale"
"71866","56","ORAL","Orale"
"71867","56","ORAL","Orale"
"71868","56","ORAL","Orale"
"71933","70","TOPICAL","Topique"
"71934","70","TOPICAL","Topique"
"71935","70","TOPICAL","Topique"
"7199","56","ORAL","Orale"
"72035","49","INTRAVENOUS","Intraveineuse"
"7209","22","INTRAMUSCULAR","Intramusculaire"
"7209","49","INTRAVENOUS","Intraveineuse"
"72216","56","ORAL","Orale"
"72217","56","ORAL","Orale"
"72226","56","ORAL","Orale"
"72227","56","ORAL","Orale"
"72228","56","ORAL","Orale"
"72405","70","TOPICAL","Topique"
"72443","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"72493","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"72493","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"72575","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"72615","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"72744","55","OPHTHALMIC","Ophtalmique"
"72798","56","ORAL","Orale"
"72799","56","ORAL","Orale"
"72800","56","ORAL","Orale"
"72833","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"72834","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"72851","56","ORAL","Orale"
"72927","56","ORAL","Orale"
"72928","56","ORAL","Orale"
"72930","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"7296","22","INTRAMUSCULAR","Intramusculaire"
"7296","49","INTRAVENOUS","Intraveineuse"
"72961","56","ORAL","Orale"
"72962","56","ORAL","Orale"
"7298","22","INTRAMUSCULAR","Intramusculaire"
"7298","49","INTRAVENOUS","Intraveineuse"
"7298","65","SUBCUTANEOUS","Sous-cutanée"
"73026","22","INTRAMUSCULAR","Intramusculaire"
"73026","65","SUBCUTANEOUS","Sous-cutanée"
"73035","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"73035","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"73036","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"73036","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"73067","56","ORAL","Orale"
"7309","22","INTRAMUSCULAR","Intramusculaire"
"7309","49","INTRAVENOUS","Intraveineuse"
"73095","56","ORAL","Orale"
"73096","56","ORAL","Orale"
"73100","56","ORAL","Orale"
"73110","22","INTRAMUSCULAR","Intramusculaire"
"73116","56","ORAL","Orale"
"73117","56","ORAL","Orale"
"73118","56","ORAL","Orale"
"73119","56","ORAL","Orale"
"7313","56","ORAL","Orale"
"7318","31","INTRATHECAL","Intrathécale"
"7318","49","INTRAVENOUS","Intraveineuse"
"7318","65","SUBCUTANEOUS","Sous-cutanée"
"73187","56","ORAL","Orale"
"73188","70","TOPICAL","Topique"
"7319","31","INTRATHECAL","Intrathécale"
"7319","49","INTRAVENOUS","Intraveineuse"
"7319","65","SUBCUTANEOUS","Sous-cutanée"
"73215","49","INTRAVENOUS","Intraveineuse"
"73240","33","INTRAPERITONEAL","Intrapéritonéale"
"73240","49","INTRAVENOUS","Intraveineuse"
"73240","65","SUBCUTANEOUS","Sous-cutanée"
"73264","62","RECTAL","Rectale"
"7329","22","INTRAMUSCULAR","Intramusculaire"
"7329","49","INTRAVENOUS","Intraveineuse"
"73317","56","ORAL","Orale"
"73318","56","ORAL","Orale"
"73413","56","ORAL","Orale"
"73414","56","ORAL","Orale"
"73447","49","INTRAVENOUS","Intraveineuse"
"73456","56","ORAL","Orale"
"73457","56","ORAL","Orale"
"73458","56","ORAL","Orale"
"73470","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"73482","56","ORAL","Orale"
"73502","56","ORAL","Orale"
"73535","70","TOPICAL","Topique"
"73537","56","ORAL","Orale"
"73562","56","ORAL","Orale"
"73579","53","NASAL","Nasale"
"73580","53","NASAL","Nasale"
"73581","53","NASAL","Nasale"
"73590","70","TOPICAL","Topique"
"73618","56","ORAL","Orale"
"73620","56","ORAL","Orale"
"73622","56","ORAL","Orale"
"73623","56","ORAL","Orale"
"73624","56","ORAL","Orale"
"73655","56","ORAL","Orale"
"73656","56","ORAL","Orale"
"73675","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"73675","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"73677","56","ORAL","Orale"
"73678","56","ORAL","Orale"
"73680","56","ORAL","Orale"
"73681","56","ORAL","Orale"
"73689","62","RECTAL","Rectale"
"73689","70","TOPICAL","Topique"
"73702","56","ORAL","Orale"
"73703","56","ORAL","Orale"
"73704","56","ORAL","Orale"
"73705","56","ORAL","Orale"
"73709","56","ORAL","Orale"
"73713","56","ORAL","Orale"
"73716","56","ORAL","Orale"
"73778","56","ORAL","Orale"
"73779","56","ORAL","Orale"
"73869","56","ORAL","Orale"
"73870","56","ORAL","Orale"
"73871","56","ORAL","Orale"
"73872","56","ORAL","Orale"
"73873","56","ORAL","Orale"
"73941","56","ORAL","Orale"
"73942","56","ORAL","Orale"
"74005","56","ORAL","Orale"
"74007","56","ORAL","Orale"
"7401","49","INTRAVENOUS","Intraveineuse"
"7401","65","SUBCUTANEOUS","Sous-cutanée"
"74016","56","ORAL","Orale"
"74017","56","ORAL","Orale"
"7403","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"7403","22","INTRAMUSCULAR","Intramusculaire"
"7403","65","SUBCUTANEOUS","Sous-cutanée"
"7403","7","EPIDURAL","Épidurale"
"74039","70","TOPICAL","Topique"
"7404","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"7404","22","INTRAMUSCULAR","Intramusculaire"
"7404","65","SUBCUTANEOUS","Sous-cutanée"
"7404","7","EPIDURAL","Épidurale"
"74111","56","ORAL","Orale"
"74112","56","ORAL","Orale"
"74116","56","ORAL","Orale"
"74117","56","ORAL","Orale"
"74234","22","INTRAMUSCULAR","Intramusculaire"
"7426","56","ORAL","Orale"
"7427","56","ORAL","Orale"
"74304","56","ORAL","Orale"
"74326","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"74326","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"74333","56","ORAL","Orale"
"74413","70","TOPICAL","Topique"
"74416","56","ORAL","Orale"
"7442","56","ORAL","Orale"
"7443","56","ORAL","Orale"
"74432","56","ORAL","Orale"
"7444","56","ORAL","Orale"
"74506","56","ORAL","Orale"
"74507","56","ORAL","Orale"
"74520","22","INTRAMUSCULAR","Intramusculaire"
"74520","65","SUBCUTANEOUS","Sous-cutanée"
"74531","55","OPHTHALMIC","Ophtalmique"
"74536","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"74549","56","ORAL","Orale"
"74550","56","ORAL","Orale"
"74668","56","ORAL","Orale"
"74696","56","ORAL","Orale"
"74732","56","ORAL","Orale"
"74733","56","ORAL","Orale"
"74734","56","ORAL","Orale"
"74760","70","TOPICAL","Topique"
"74793","6","HAEMODIALYSIS","Hémodialyse"
"74797","56","ORAL","Orale"
"74799","56","ORAL","Orale"
"74808","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"74808","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"74808","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"74834","56","ORAL","Orale"
"74852","56","ORAL","Orale"
"74853","56","ORAL","Orale"
"74854","55","OPHTHALMIC","Ophtalmique"
"74886","56","ORAL","Orale"
"74931","29","INHALATION","Inhalation"
"74978","56","ORAL","Orale"
"74979","56","ORAL","Orale"
"74980","56","ORAL","Orale"
"74981","56","ORAL","Orale"
"74982","56","ORAL","Orale"
"74984","56","ORAL","Orale"
"74985","56","ORAL","Orale"
"74986","56","ORAL","Orale"
"74987","56","ORAL","Orale"
"74988","56","ORAL","Orale"
"74989","56","ORAL","Orale"
"74991","56","ORAL","Orale"
"75019","56","ORAL","Orale"
"75021","56","ORAL","Orale"
"75022","23","INTRAMAMMARY","Intramammaire"
"75025","70","TOPICAL","Topique"
"75101","56","ORAL","Orale"
"75118","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"75118","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"75162","56","ORAL","Orale"
"75163","56","ORAL","Orale"
"75181","29","INHALATION","Inhalation"
"75189","56","ORAL","Orale"
"75190","56","ORAL","Orale"
"75283","56","ORAL","Orale"
"75285","56","ORAL","Orale"
"75286","56","ORAL","Orale"
"75290","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"75290","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"753","56","ORAL","Orale"
"75330","56","ORAL","Orale"
"75440","56","ORAL","Orale"
"75444","56","ORAL","Orale"
"75445","56","ORAL","Orale"
"75452","56","ORAL","Orale"
"75463","56","ORAL","Orale"
"75464","56","ORAL","Orale"
"75465","56","ORAL","Orale"
"75466","56","ORAL","Orale"
"75467","56","ORAL","Orale"
"75511","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"75515","56","ORAL","Orale"
"75516","56","ORAL","Orale"
"75534","56","ORAL","Orale"
"75586","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"75611","56","ORAL","Orale"
"75612","56","ORAL","Orale"
"75613","56","ORAL","Orale"
"75622","70","TOPICAL","Topique"
"75663","56","ORAL","Orale"
"75664","56","ORAL","Orale"
"75665","56","ORAL","Orale"
"75693","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"75693","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"75693","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"75694","22","INTRAMUSCULAR","Intramusculaire"
"75722","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"75730","49","INTRAVENOUS","Intraveineuse"
"75731","49","INTRAVENOUS","Intraveineuse"
"75762","56","ORAL","Orale"
"75771","22","INTRAMUSCULAR","Intramusculaire"
"75771","65","SUBCUTANEOUS","Sous-cutanée"
"75804","6","HAEMODIALYSIS","Hémodialyse"
"75805","6","HAEMODIALYSIS","Hémodialyse"
"75807","6","HAEMODIALYSIS","Hémodialyse"
"75810","6","HAEMODIALYSIS","Hémodialyse"
"75811","6","HAEMODIALYSIS","Hémodialyse"
"75848","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"75848","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"75848","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"75853","56","ORAL","Orale"
"75854","56","ORAL","Orale"
"75855","56","ORAL","Orale"
"75867","56","ORAL","Orale"
"75904","56","ORAL","Orale"
"75942","56","ORAL","Orale"
"75943","56","ORAL","Orale"
"75944","56","ORAL","Orale"
"75984","56","ORAL","Orale"
"75985","56","ORAL","Orale"
"76042","22","INTRAMUSCULAR","Intramusculaire"
"76042","65","SUBCUTANEOUS","Sous-cutanée"
"76130","56","ORAL","Orale"
"76137","56","ORAL","Orale"
"76138","56","ORAL","Orale"
"76227","56","ORAL","Orale"
"76308","49","INTRAVENOUS","Intraveineuse"
"76308","6","HAEMODIALYSIS","Hémodialyse"
"76314","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"76315","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"7632","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"7632","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"76367","56","ORAL","Orale"
"76369","56","ORAL","Orale"
"76400","56","ORAL","Orale"
"76401","56","ORAL","Orale"
"76402","56","ORAL","Orale"
